"Symbol","ListedDate","ListedYear","ABSymbol","HSymbol","EstablishDate","IpoDate","CompanyListedDate","IsIPO","TotalShares","IssuePrice","CurrencyCode","ClosePrice","ReturnRate","TurnoverRate1","TurnoverRate2","PE","PB"
"600101","1997-06-27","1997","","","1988-04-29","1988-06-01","1997-06-27","A","29000000","1.0000","CNY","22.300","21.300000","0.11362","0.24221","52.49","7.70"
"600102","1997-08-28","1997","","","1997-08-22","1997-08-08","1997-08-28","A","80000000","6.7300","CNY","10.750","0.597325","0.08036","0.59134","22.85","8.23"
"600103","1997-07-03","1997","","","1993-04-01","1997-06-18","1997-07-03","A","80000000","5.1000","CNY","8.460","0.658824","0.07500","0.27137","33.21","4.71"
"600104","1997-11-25","1997","","","1997-11-20","1997-11-07","1997-11-25","A","300000000","7.0200","CNY","12.900","0.837607","0.12684","0.46976","30.01","18.53"
"600105","1997-09-29","1997","","","1994-06-30","1997-09-15","1997-09-29","A","35000000","7.1000","CNY","12.100","0.704225","0.14217","0.54839","33.68","9.44"
"600106","1997-06-18","1997","","","1997-06-13","1997-06-03","1997-06-18","A","90000000","5.4000","CNY","11.400","1.111111","0.13414","0.47133","37.26","14.16"
"600107","1997-11-06","1997","","","1993-12-31","1997-10-16","1997-11-06","A","50000000","8.1000","CNY","19.840","1.449383","0.18047","0.72190","43.76","10.86"
"600108","1997-08-18","1997","","","1995-12-06","1997-07-24","1997-08-18","A","70000000","6.0600","CNY","8.490","0.400990","0.18041","0.42954","33.02","9.74"
"600109","1997-08-07","1997","","","1988-07-20","1993-04-05","1997-08-07","A","10000000","2.2000","CNY","8.700","2.954545","0.18668","0.48252","",""
"600110","1997-10-07","1997","","","1994-03-11","1997-09-19","1997-10-07","A","30000000","7.5200","CNY","12.000","0.595745","0.17297","0.51291","47.37","7.99"
"600111","1997-09-24","1997","","","1997-09-12","1997-08-27","1997-09-24","A","80000000","4.4300","CNY","7.970","0.799097","0.16584","0.59968","46.00","24.35"
"600112","1997-11-27","1997","","","1997-11-13","1997-10-31","1997-11-27","A","40000000","4.3100","CNY","8.350","0.937355","0.14412","0.64053","40.00","11.05"
"600113","1997-10-21","1997","","","1997-10-06","1997-09-22","1997-10-21","A","40000000","5.7500","CNY","11.880","1.066087","0.22403","0.66089","36.12","14.37"
"600114","2004-05-11","2004","","","1994-07-11","2004-04-19","2004-05-11","A","45000000","10.0000","CNY","14.540","0.454000","0.16792","0.42913","33.32","10.41"
"600115","1997-11-05","1997","","00670","1995-04-14","1997-10-24","1997-11-05","A","300000000","2.4500","CNY","7.330","1.991837","0.04228","0.76219","111.83","8.41"
"600116","1997-08-04","1997","","","1993-05-08","1997-07-23","1997-08-04","A","50000000","6.3800","CNY","14.290","1.239812","0.19925","0.63313","47.60","12.84"
"600117","1997-10-15","1997","","","1997-10-08","1997-09-23","1997-10-15","A","80000000","5.8000","CNY","7.880","0.358621","0.09714","0.43175","26.22","7.80"
"600118","1997-09-08","1997","","","1997-08-21","1997-07-22","1997-09-08","A","25000000","5.2800","CNY","12.120","1.295455","0.23607","0.64534","61.01","14.60"
"600119","1998-01-15","1998","","","1997-11-28","1997-11-20","1998-01-15","A","40000000","4.7600","CNY","12.170","1.556723","0.18360","0.63751","42.80","12.35"
