month,MarketR,MarketR_e,rfmonth,ret,ret_e,marketret3,marketret6,marketret12,ipor,pd,l.pd,l.ipor
2009.08333333333,0.058518,0.08893,0.001856,0.056662,0.087074,0.314236322453008,0.81011788468359,0.667028194880657,0,4.346081340209,4.27072372339381,0
2009.16666666667,0.186709,0.223024,0.001856,0.184853,0.221168,0.309227720330522,0.342240411883355,0.623495432232897,0,4.56747477501855,4.346081340209,0
2009.25,0.05068,0.076364,0.001856,0.048824,0.074508,0.231678350241586,0.188284701067087,0.399442192792102,0,4.7140733943413,4.56747477501855,0
2009.33333333333,0.054501,0.071731,0.001856,0.052645,0.069875,0.374392449808854,0.2401003422109,0.226583581007595,0,4.85864275468077,4.7140733943413,0
2009.41666666667,0.116715,0.088737,0.001856,0.114859,0.086881,0.0237964479592134,0.276270782184911,0.0634707326543988,0,4.76296971325049,4.85864275468077,0
2009.5,0.171873,0.148047,0.001856,0.170017,0.146191,-0.0361170242625049,0.176367551815916,-0.124208139107453,1.1198196,4.95099309411746,4.76296971325049,0
2009.58333333333,-0.213406,-0.15897,0.001856,-0.215262,-0.160826,-0.0988286108295408,-0.0835406858327937,-0.162493963163405,0.628388727272727,4.72837682056072,4.95099309411746,1.1198196
2009.66666666667,0.051718,0.045235,0.001856,0.049862,0.043379,0.245140635207048,0.204980287194682,0.0990010480124896,0.522904719640167,4.78236377870813,4.72837682056072,0.628388727272727
2009.75,0.096068,0.120721,0.001856,0.094212,0.118865,0.219385802771847,0.174285780033777,0.055385109940943,1.003387621866,5.05753325611102,4.78236377870813,0.522904719640167
2009.83333333333,0.084983,0.145707,0.001856,0.083127,0.143851,0.017468132748278,-0.0129490203398013,0.0792220660175922,0.583656542937091,5.16045151561622,5.05753325611102,1.003387621866
2009.91666666667,0.030061,0.02381,0.001856,0.028205,0.021954,-0.0332031629598943,-0.1676876558793,-0.0514325842432802,0.647958085271072,5.21814845386706,5.16045151561622,0.583656542937091
2010,-0.084603,-0.034874,0.001856,-0.086459,-0.03673,-0.0378164795432171,-0.254766108736355,-0.0882546267437362,0.377877154724541,5.17348163950323,5.21814845386706,0.647958085271072
2010.08333333333,0.031244,0.067721,0.001856,0.029388,0.065865,-0.029827184861219,-0.0841037931420696,-0.0230360547534785,0.173795224536609,5.21372952326045,5.17348163950323,0.377877154724541
2010.16666666667,0.025174,0.047159,0.001856,0.023318,0.045303,-0.138114667522785,-0.0890275930386594,-0.00237109282799097,0.679806605733094,5.23387162337994,5.21372952326045,0.173795224536609
2010.25,-0.077046,-0.073324,0.001856,-0.078902,-0.07518,-0.22395868726724,-0.101942840829218,-0.0258028318779185,0.7136748643752,5.11469336934075,5.23387162337994,0.679806605733094
